Filmes,Gênero,Diretor,Gênero Diretor
Parasita,"suspense, drama",Bong Joon-ho,M
Whiplash,"drama, musical",Damien Chazelle,M
La La Land,"romance, musical",Damien Chazelle,M
Clube da Luta,"drama, suspense",David Fincher,M
O Show de Truman,"drama, ficção científica",Peter Weir,M
A Chegada,"ficção científica, drama",Denis Villeneuve,M
Corra!,"terror, suspense",Jordan Peele,M
Interestelar,"ficção científica, aventura",Christopher Nolan,M
Her,"romance, ficção científica",Spike Jonze,M
Ilha do Medo,"suspense, mistério",Martin Scorsese,M
O Grande Hotel Budapeste,"comédia, aventura",Wes Anderson,M
Garota Exemplar,"suspense, drama",David Fincher,M
Jojo Rabbit ,drama,Taika Waititi,M
